x,y,enemy_x,enemy_y,direction
0,0,10,10,45
0,0,10,0,90
-9,13,3,-3,-37
-10,-9,4,9,38
-1,-7,9,-4,73
130,-92,-206,69,-64
537,-10,-507,166,-80
-102,231,-98,-87,-1
277,78,228,113,-54
-600,-600,600,600,45
356,-335,269,-538,23
456,270,378,323,-56
-348,-513,-459,540,-6
-528,-11,477,-68,-87
-107,-507,19,-430,59
558,201,237,-586,22
391,-160,368,-471,4
-220,274,-298,572,-15
186,454,-422,95,59
-583,-489,-286,127,26
-283,497,0,158,-40
402,449,-130,-360,33
-24,141,-397,38,75
-600,33,-178,510,41
461,-281,255,-119,-52
89,437,305,114,-34
-166,-49,-169,464,0
-387,556,-187,124,-25
-328,-192,43,-600,-42
-304,-265,291,438,40
